"","Year","Carpark","Chill.Out","Age","Tenure_Bin","Age.65.and.above.of.total.residents","Resident.in.Condominiums.and.Other.Apartments.of.total.residents","Monthly.Household.Income.8000.and.above.of.Total.Households","Tenants.of.total.households","Uni.Qualification.of.total","URA.growth.area.km","hawker.centre.and.market.km","MRT.station.km","park.km","top.primary.school.km","shopping.mall.km","bus.stop.km","bus.interchange.km","TransactionPricePerUnit","Area.Sqm.Unit"
"1949",2013,0,0,11,1,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,4.88672647441176,0.832342566588235,0.522862239764706,0.384020056352941,0.972139549823529,0.706022149882353,0.157724389235294,1.22135758535294,892235.294117647,109.235294117647
"1950",2014,0,0,1,1,0.072259245,0.028354894,0.315868627,0.054334643,0.239460665,4.2273380868,2.1615283986,0.2547380552,0.8111730646,2.2625086442,0.361542351,0.1560848484,0.4201861716,1117000,104.8
"1951",2014,0,0,0,1,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,4.879354658,0.825081021,0.527061967,0.377954966,0.979212949,0.702537735,0.160004846,1.221095167,904125,84.6875
"1952",2014,0,0,13,1,0.094339623,0.58490566,0.550102249,0.100204499,0.336424958,4.46123259241667,0.873390685416667,1.22025781875,0.304320277,2.23635768716667,1.39433524491667,0.1149465105,1.4820411765,827125,109.416666666667
"1953",2014,0,0,0.923076923076923,1,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,5.78983216853846,2.33714237569231,0.765410246461538,0.133352046846154,3.21760311153846,2.16299973169231,0.248994800307692,2.21860078215385,1204367.38461538,116.230769230769
"1954",2014,0,0,12,1,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,4.88618073508333,0.831458663583333,0.523523126916667,0.383636582333333,0.972639257833333,0.70594530075,0.157622643583333,1.22103432708333,875750,109.083333333333
"1955",2015,0,0,2,1,0.072259245,0.028354894,0.315868627,0.054334643,0.239460665,4.1893541886,2.2611677112,0.2936845524,0.8974112168,2.3704145,0.396668382,0.1425619966,0.4654932546,812266.666666667,75.3333333333333
"1956",2015,0,0,1,1,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,4.879354658,0.825081021,0.527061967,0.377954966,0.979212949,0.702537735,0.160004846,1.221095167,945301.3,90.05
"1957",2015,0,0,14,1,0.094339623,0.58490566,0.550102249,0.100204499,0.336424958,4.46561936108333,0.855421932,1.21547579608333,0.287195066916667,2.21896309416667,1.37976845616667,0.103521786666667,1.46745487433333,961240.666666667,132.916666666667
"1958",2015,0,0,0,1,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,6.18330197995455,1.59649607138636,1.08908054873295,0.836667370318182,0.821587532761364,0.549828786693182,0.149105630375,0.997340921732955,780486.079545455,70.7045454545455
"1959",2015,0,0,2,1,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,5.78801985535714,2.32379908342857,0.750668071071429,0.141293758214286,3.20194164571429,2.14751708021429,0.239412384,2.20303172328571,1032214.28571429,101.5
"1960",2015,0,0,13,1,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,4.8868643454,0.8325658684,0.5226952788,0.384116934,0.9720133078,0.7060415644,0.1577500934,1.2214392506,901600,114.8
"1961",2013,0,0,10,1,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,6.3042173807619,2.43335164419048,1.67219853590476,0.730851767333333,1.91625919361905,1.38467426247619,0.172040353619048,1.49131954452381,927428.571428571,116.333333333333
"1962",2013,0,0,0,1,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,6.4033811375,2.33379878,1.573031318,0.61202511675,1.88157098975,1.335658115,0.1072012195,1.3994909785,893250,118.25
"1963",2014,0,0,11,1,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,6.300904496,2.43654855608333,1.67541444975,0.730970047583333,1.92412230783333,1.39177644441667,0.17473909,1.49530439125,897574,114.166666666667
"1964",2014,0,0,0,1,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,6.36990788733333,2.36719245333333,1.60639465566667,0.643184567333333,1.90809847033333,1.36436267633333,0.121448781333333,1.432672801,794962.666666667,104.666666666667
"1965",2015,0,0,12,1,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,6.290671477875,2.44604904,1.684918908,0.72714368425,1.954395066375,1.418450895625,0.190011221375,1.5080917605,870500,114.875
"1966",2015,0,0,0,1,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,3.23446647375676,2.30017513808108,0.573547336351351,1.18232838889189,1.69120485724324,1.00439241859459,0.0297110736216216,1.09413138521622,829112.405405405,99.5225225225225
"1967",2015,0,0,0,1,0.072259245,0.028354894,0.315868627,0.054334643,0.239460665,4.61145832166563,2.62261168210526,0.921059438489164,1.03362836975542,2.54608337740867,1.03311683626625,0.206334257551084,1.24198314948916,835840.866873065,95.7678018575851
"1968",2015,0,0,0,1,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,4.85396327024194,2.32222541782258,0.871441612887097,1.03554587804839,2.05593823469355,1.31512451656452,0.20748649416129,1.35805844235484,852733.870967742,99.5322580645161
"1969",2013,0,0,9,2,0.141708793,0.112704069,0.402184183,0.066275774,0.274180811,5.12739353222222,1.23217586955556,0.136617580777778,0.0790230696666667,1.91680697888889,1.11837923344444,0.163808701666667,1.10715111955556,2136444.44444444,142.333333333333
"1970",2014,0,0,10,2,0.141708793,0.112704069,0.402184183,0.066275774,0.274180811,5.12530542566667,1.23557453433333,0.135204333666667,0.091046651,1.912918934,1.11933980566667,0.163342456666667,1.10823814666667,1726666.66666667,117.333333333333
"1971",2015,0,0,11,2,0.141708793,0.112704069,0.402184183,0.066275774,0.274180811,5.13230058611111,1.25671182,0.130220594666667,0.0770523885555556,1.89061224277778,1.14015596333333,0.161801941111111,1.12962001966667,1777000,126.333333333333
"1972",2013,1,0,12,2,0.151590287,0.153385773,0.229365769,0.198113442,0.186605185,0.751641384,0.608959278,0.448370844,0.335018684,0.486363952,0.752521964,0.111592293,1.728022672,1020000,120
"1973",2013,1,0,12,2,0.151590287,0.153385773,0.229365769,0.198113442,0.186605185,1.658417397,0.623747607,0.651821418,1.108925514,0.948649213,0.983228042,0.146823576,2.620014895,922500,106
"1974",2014,1,0,19,2,0.151590287,0.153385773,0.229365769,0.198113442,0.186605185,0.475926422,0.63487327,0.475926422,0.173910034,0.484195616,0.513830411,0.118829191,1.409768946,980000,96
"1975",2014,1,0,20,2,0.151590287,0.153385773,0.229365769,0.198113442,0.186605185,2.018185076,0.782522816,0.777105606,1.183059561,1.283259825,0.69138814,0.07684773,2.979466222,762500,89
"1976",2015,1,0,14,2,0.151590287,0.153385773,0.229365769,0.198113442,0.186605185,2.005085631,0.728716497,0.825432121,1.196921228,1.29437998,0.744945742,0.097700551,2.972571942,860000,97
"1977",2013,1,0,18,2,0.151590287,0.153385773,0.229365769,0.198113442,0.186605185,0.832913638,0.265203929,0.56784877,0.22352957,1.415541674,0.598131242,0.16069088,0.456639023,1e+06,91
"1978",2015,1,0,20,2,0.151590287,0.153385773,0.229365769,0.198113442,0.186605185,0.832913638,0.265203929,0.56784877,0.22352957,1.415541674,0.598131242,0.16069088,0.456639023,885000,90
"1979",2013,1,0,7,2,0.189856066,0.137765593,0.240251094,0.189081225,0.194479615,3.508287444,0.422253188,0.17703296,0.257077282,3.512653609,0.503726542,0.246977051,2.785034785,1268888,75
"1980",2013,1,0,22,2,0.141708793,0.112704069,0.402184183,0.066275774,0.274180811,3.522604485,1.410800794,0.466592973,0.253551519,2.940170903,0.744644631,0.169005051,0.915569668,1180000,112
"1981",2013,1,0,29,2,0.120822275,0.097296568,0.289716625,0.060303444,0.189969158,4.633625676,0.613939263,0.574450567,0.369568721,1.779308058,0.529023078,0.142747615,1.218958918,1601500,165
"1982",2015,1,0,24,2,0.141708793,0.112704069,0.402184183,0.066275774,0.274180811,3.522604485,1.410800794,0.466592973,0.253551519,2.940170903,0.744644631,0.169005051,0.915569668,1040000,116
"1983",2015,1,0,31,2,0.120822275,0.097296568,0.289716625,0.060303444,0.189969158,4.633625676,0.613939263,0.574450567,0.369568721,1.779308058,0.529023078,0.142747615,1.218958918,1380000,165
"1984",2013,1,0,17,2,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,5.170889226,3.327425552,0.532558371,0.357719998,4.546713287,3.520873498,0.071455717,3.595772013,960000,121
"1985",2014,1,0,18,2,0.095954845,0.044412537,0.226164701,0.070106018,0.161588467,5.166708355,3.407121466,0.468764681,0.306618378,4.569886981,3.609366195,0.095480887,3.684567062,1e+06,121
"1986",2013,1,0,11,2,0.125263158,0.737894737,0.677344309,0.294917681,0.651198826,3.529324478,0.419068082,0.438919826,0.607218727,2.373678071,0.34390484,0.049821914,2.064911491,1496250,98
"1987",2013,1,0,28,2,0.139653552,0.45548543,0.652580114,0.171846258,0.55939871,6.943881144,0.477989905,0.7257323855,0.7989686655,1.2966031995,1.6357087655,0.147658253,3.5562956545,2100000,155.5
"1988",2014,1,0,29,2,0.139653552,0.45548543,0.652580114,0.171846258,0.55939871,6.941809348,0.482370486,0.729703526,0.802709221,1.292381943,1.640399053,0.149061663,3.556653113,1700000,137
"1989",2013,1,0,15,2,0.151590287,0.153385773,0.229365769,0.198113442,0.186605185,0.992358328,0.674953672,0.33868681,0.490552942,0.488525232,0.99481534,0.069850106,1.961405428,910000,97
"1990",2014,1,0,16,2,0.151590287,0.153385773,0.229365769,0.198113442,0.186605185,0.992358328,0.674953672,0.33868681,0.490552942,0.488525232,0.99481534,0.069850106,1.961405428,925000,104
"1991",2015,1,0,17,2,0.151590287,0.153385773,0.229365769,0.198113442,0.186605185,0.992358328,0.674953672,0.33868681,0.490552942,0.488525232,0.99481534,0.069850106,1.961405428,720000,72
"1992",2015,1,0,12,2,0.151590287,0.153385773,0.229365769,0.198113442,0.186605185,0.750612252,0.675573304,0.599586401,0.18547755,0.309017892,0.776919024,0.045507391,1.684591398,831000,95
"1993",2013,1,0,20,2,0.167453314,0.348861071,0.409859337,0.209252807,0.351955146,1.643857,0.351858574,0.622328249,0.569770798,1.880915899,0.432080812,0.224960402,1.156174864,1265000,112
"1994",2013,1,0,13,2,0.167453314,0.348861071,0.409859337,0.209252807,0.351955146,1.444093633,0.78886263,0.695810633,0.544151552,1.076645362,0.791953222,0.127209165,1.677617067,1228000,109.2
"1995",2014,1,0,14,2,0.167453314,0.348861071,0.409859337,0.209252807,0.351955146,1.444093633,0.78886263,0.695810633,0.544151552,1.076645362,0.791953222,0.127209165,1.677617067,1130000,104.666666666667
"1996",2015,1,0,22,2,0.167453314,0.348861071,0.409859337,0.209252807,0.351955146,1.644152648,0.355332697,0.623979153,0.575085618,1.883944435,0.436737348,0.230465323,1.153103955,1200000,113
"1997",2014,1,0,12,2,0.145504745,0.168041415,0.321022976,0.121535999,0.245962481,2.250625136,0.684857739,0.534570432,0.118323112,2.111656559,0.962589518,0.063254907,1.479224753,1665000,162
"1998",2014,1,0,16,1,0.071596948,0.040233329,0.233717541,0.090320596,0.162008685,1.05803104,1.665628573,0.899305294,0.862190228,6.51137991,0.928554985,0.074628034,1.115168436,739750,84.625
