"","Project.Name","Year","Property.Type","Planning.Region","Postal.District","Security","Carpark","Entertainment","Chill.Out","Food.Dining","Family.Friendly","Fitness","Function.Room","Month","Time.Quarter","Floor.No","Age","Tenure_Bin","Latitude","Longitude","No.of.Residents.Million","Age.65.and.above.of.total.residents","Resident.in.Condominiums.and.Other.Apartments.of.total.residents","Condominiums.and.Private.Flats.Households.of.Total.Households","Monthly.Household.Income.8000.and.above.of.Total.Households","Tenants.of.total.households","Uni.Qualification.of.total","CBD.km","childcare.centre.km","community.club.km","elderly.care.centre.km","exercise.facility.km","URA.growth.area.km","hawker.centre.and.market.km","hospital.polyclinic.km","kindergarten.km","library.km","MRT.station.km","park.km","private.school.km","primary.school.km","top.primary.school.km","secondary.school.km","junior.college.km","higher.education.school.km","shopping.mall.km","supermarket.hypermarket.km","bus.stop.km","bus.interchange.km","TransactionPricePerUnit","Area.Sqm.Unit"
"1835","NOVENA HILL",2013,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,6,2,1,0,2,1.32361275,103.8433827,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,4.4930559655,0.2919944135,1.320351987,0.718337424,0.334066257,5.4189893925,1.124038327,0.1986609185,0.661794495,1.395252215,0.3983260485,0.154347668,0.3273147855,0.2698069555,1.987504507,0.1908444375,0.8787032095,3.126215261,0.3280212645,0.3280212645,0.168239973,1.023335911,1030000,66
"1836","SHELFORD 23",2013,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,5.33333333333333,2,19.3333333333333,2,2,1.32794893333333,103.812322433333,0.07447,0.139653552,0.45548543,0.486300707,0.652580114,0.171846258,0.55939871,6.54325222533333,0.226848436,1.69707252666667,1.942814106,0.633660500333333,7.43655080166667,0.466138831,2.46901170266667,0.538604056333333,3.33083305733333,0.636196100333333,0.206583252666667,2.734594761,0.905601324666667,0.905601324666667,0.931910634333333,0.803329909,3.913214552,2.86011578933333,0.517154404,0.294332673,3.94566678,2156666.66666667,136.333333333333
"1837","SHELFORD MANSIONS",2013,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,6,2,23,26,2,1.3286189,103.811753,0.07447,0.139653552,0.45548543,0.486300707,0.652580114,0.171846258,0.55939871,6.640906279,0.241001906,1.780492318,1.876621784,0.725849468,7.534210362,0.560815662,2.560853474,0.619660742,3.389726641,0.602970369,0.14176706,2.827336678,0.941434946,0.941434946,0.985243112,0.78662437,3.840487547,2.95510329,0.56235627,0.34203798,4.001368037,3500000,288
"1838","SUFFOLK PREMIER",2013,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,3.5,1.5,37.5,6,2,1.314389,103.844664,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.462469477,0.254378583,0.761145799,0.608621224,0.353077385,4.391567911,0.633515846,0.483460559,0.067149248,1.645922986,0.634963654,0.215617182,0.559891832,0.399749027,2.789058199,1.129602429,1.523917373,2.118017158,0.360126795,0.360126795,0.226978085,1.961440871,1385000,93
"1839","SUITES @ SURREY",2013,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,3,1,45,5,2,1.316066,103.8418899,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.72056886,0.114683239,0.712987119,0.925096731,0.224650858,4.656625049,0.511198409,0.727082701,0.224645901,1.754782311,0.492917061,0.218499489,0.58730574,0.468559309,2.767282798,0.770054228,1.184434541,2.420250446,0.241724694,0.241724694,0.105272578,1.859194206,1481600,86
"1840","TEN @ SUFFOLK",2013,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,4,2,67,7,2,1.314432,103.844255,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.477330562,0.285569687,0.745655417,0.653633809,0.333877437,4.40793282,0.593768055,0.51168956,0.048532718,1.635914872,0.625280086,0.196173702,0.540722686,0.4109426,2.803480895,1.087218542,1.490392389,2.140798516,0.342763694,0.342763694,0.230970331,1.964758556,1680000,104
"1841","THE ARMADALE",2013,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,1,1,12,12,2,1.3189739,103.8403428,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,4.079612407,0.137841483,0.967138494,1.179728176,0.310587886,5.01684541,0.76016051,0.569097146,0.148953649,2.01014448,0.407673879,0.158946566,0.326452689,0.575921095,2.600370501,0.519411022,0.824460807,2.785938961,0.397412572,0.397412572,0.204463894,1.636926073,1150000,63
"1842","THE LINC",2013,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,6.5,2.5,33,7,2,1.3146973,103.8427758,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.547223385,0.293372417,0.643987471,0.816784654,0.302439136,4.482166876,0.466633193,0.639752277,0.17009153,1.622007508,0.545501357,0.201039796,0.513019719,0.477532656,2.850397156,0.930106205,1.365186419,2.239853494,0.317408563,0.317408563,0.222408224,1.973806894,2050000,119
"1843","THE SPRINGS",2013,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,7,2.66666666666667,44,10,2,1.3192889,103.8467234,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.957798259,0.307562014,0.863458293,0.620411624,0.325605914,4.872594352,0.521848875,0.242262751,0.422688993,1.659209514,0.331413276,0.472440123,0.527972661,0.196631332,2.199217349,0.667789801,1.37770256,2.562030531,0.32532563,0.32532563,0.064887294,1.394209858,1550000,96
"1844","ULTRA MANSION",2013,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,1,1,55,35,2,1.3164822,103.8458188,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.665286462,0.444952143,0.725533069,0.511120027,0.278694948,4.587282145,0.491644529,0.535277053,0.133032271,1.90816428,0.452999721,0.221985078,0.797176055,0.150549777,2.524775333,0.943912318,1.457706859,2.290001695,0.27189633,0.27189633,0.107933049,1.71350993,3314000,158.933333333333
